Experiment,Dice,HD95
VIM_140_labeled,0.897025,1.733775
unet_140_labeled,0.899658,1.349884
swinunet_140_labeled,0.886673,3.113613
Semi_Mamba_UNet_L3_3,0.761305,6.630817
Semi_Mamba_UNet_L7_7,0.851457,4.060570
Mean_Teacher_L3_3_labeled,0.489669,46.446427
Mean_Teacher_L7_7_labeled,0.766156,21.440625
UA_MT_L3_3_labeled,0.528582,29.748153
UA_MT_L7_7_labeled,0.724878,26.179964
Mean_Teacher_ViT_L3_3_labeled,0.479473,6.389653
Mean_Teacher_ViT_L7_7_labeled,0.701042,5.496462
UA_MT_ViT_L3_3_labeled,0.523392,5.773639
UA_MT_ViT_L7_7_labeled,0.684388,3.589551
