/root/code/Mamba-UNet-main/code/train_fully_supervised_2D_ViT.py:32: DeprecationWarning: Please import `zoom` from the `scipy.ndimage` namespace; the `scipy.ndimage.interpolation` namespace is deprecated and will be removed in SciPy 2.0.0.
  from scipy.ndimage.interpolation import zoom
/root/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
=> merge config from ../code/configs/swin_tiny_patch4_window7_224_lite.yaml
=> merge config from ../code/configs/swin_tiny_patch4_window7_224_lite.yaml
Namespace(root_path='../data/ACDC', exp='ACDC/swinunet', model='swinunet', max_iterations=10000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[224, 224], seed=1337, num_classes=4, cfg='../code/configs/swin_tiny_patch4_window7_224_lite.yaml', opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, labeled_bs=12, labeled_num=140, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0)
SwinTransformerSys expand initial----depths:[2, 2, 2, 2];depths_decoder:[1, 2, 2, 2];drop_path_rate:0.2;num_classes:4
---final upsample expand_first---
pretrained_path:../code/pretrained_ckpt/swin_tiny_patch4_window7_224.pth
---start load pretrained modle of swin encoder---
total 1312 samples
total 20 samples
55 iterations per epoch
  0%|                                         | 0/182 [00:00<?, ?it/s]iteration 1 : loss : 1.176010, loss_ce: 1.519468, loss_dice: 0.832552
iteration 2 : loss : 1.056533, loss_ce: 1.314982, loss_dice: 0.798084
iteration 3 : loss : 0.882080, loss_ce: 0.994458, loss_dice: 0.769702
iteration 4 : loss : 0.707496, loss_ce: 0.703797, loss_dice: 0.711194
iteration 5 : loss : 0.565083, loss_ce: 0.439523, loss_dice: 0.690643
iteration 6 : loss : 0.494480, loss_ce: 0.293675, loss_dice: 0.695285
iteration 7 : loss : 0.473676, loss_ce: 0.242339, loss_dice: 0.705012
iteration 8 : loss : 0.467747, loss_ce: 0.213535, loss_dice: 0.721960
iteration 9 : loss : 0.468009, loss_ce: 0.205939, loss_dice: 0.730080
iteration 10 : loss : 0.459612, loss_ce: 0.181749, loss_dice: 0.737475
iteration 11 : loss : 0.467999, loss_ce: 0.194683, loss_dice: 0.741315
iteration 12 : loss : 0.482407, loss_ce: 0.220222, loss_dice: 0.744591
iteration 13 : loss : 0.494038, loss_ce: 0.241242, loss_dice: 0.746834
iteration 14 : loss : 0.460418, loss_ce: 0.174625, loss_dice: 0.746210
iteration 15 : loss : 0.466805, loss_ce: 0.186419, loss_dice: 0.747192
iteration 16 : loss : 0.477288, loss_ce: 0.206769, loss_dice: 0.747808
iteration 17 : loss : 0.488963, loss_ce: 0.229168, loss_dice: 0.748757
iteration 18 : loss : 0.512845, loss_ce: 0.275615, loss_dice: 0.750074
iteration 19 : loss : 0.487790, loss_ce: 0.226689, loss_dice: 0.748891
iteration 20 : loss : 0.492085, loss_ce: 0.235266, loss_dice: 0.748904
iteration 21 : loss : 0.491748, loss_ce: 0.234778, loss_dice: 0.748717
iteration 22 : loss : 0.467615, loss_ce: 0.188125, loss_dice: 0.747105
iteration 23 : loss : 0.493908, loss_ce: 0.239740, loss_dice: 0.748076
iteration 24 : loss : 0.506624, loss_ce: 0.265202, loss_dice: 0.748047
iteration 25 : loss : 0.486856, loss_ce: 0.227209, loss_dice: 0.746503
iteration 26 : loss : 0.469948, loss_ce: 0.195178, loss_dice: 0.744718
iteration 27 : loss : 0.456443, loss_ce: 0.169697, loss_dice: 0.743188
iteration 28 : loss : 0.485519, loss_ce: 0.227493, loss_dice: 0.743546
iteration 29 : loss : 0.484286, loss_ce: 0.226364, loss_dice: 0.742208
iteration 30 : loss : 0.473683, loss_ce: 0.207284, loss_dice: 0.740082
iteration 31 : loss : 0.473008, loss_ce: 0.207568, loss_dice: 0.738448
iteration 32 : loss : 0.482128, loss_ce: 0.226761, loss_dice: 0.737495
iteration 33 : loss : 0.468063, loss_ce: 0.202399, loss_dice: 0.733727
iteration 34 : loss : 0.490379, loss_ce: 0.246947, loss_dice: 0.733811
iteration 35 : loss : 0.463767, loss_ce: 0.197184, loss_dice: 0.730349
iteration 36 : loss : 0.472306, loss_ce: 0.216405, loss_dice: 0.728207
