/root/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
=> merge config from ../code/configs/swin_tiny_patch4_window7_224_lite.yaml
=> merge config from ../code/configs/vmamba_tiny.yaml
Namespace(root_path='../data/ACDC', exp='ACDC/VIM', model='mambaunet', num_classes=4, cfg='../code/configs/vmamba_tiny.yaml', opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, max_iterations=10000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[224, 224], seed=1337, labeled_num=140)
---final upsample expand_first---
pretrained_path:../code/pretrained_ckpt/vmamba_tiny_e292.pth
---start load pretrained modle of swin encoder---
total 1312 samples
total 20 samples
55 iterations per epoch
  0%|                                         | 0/182 [00:00<?, ?it/s]iteration 1 : loss : 1.129584, loss_ce: 1.436075, loss_dice: 0.823094
iteration 2 : loss : 1.070973, loss_ce: 1.335700, loss_dice: 0.806245
iteration 3 : loss : 0.979307, loss_ce: 1.168269, loss_dice: 0.790344
iteration 4 : loss : 0.861765, loss_ce: 0.965039, loss_dice: 0.758492
iteration 5 : loss : 0.739942, loss_ce: 0.751053, loss_dice: 0.728831
iteration 6 : loss : 0.612866, loss_ce: 0.523283, loss_dice: 0.702449
iteration 7 : loss : 0.529766, loss_ce: 0.367326, loss_dice: 0.692207
iteration 8 : loss : 0.501609, loss_ce: 0.307942, loss_dice: 0.695277
iteration 9 : loss : 0.467502, loss_ce: 0.221825, loss_dice: 0.713180
iteration 10 : loss : 0.470677, loss_ce: 0.215007, loss_dice: 0.726348
iteration 11 : loss : 0.471326, loss_ce: 0.209684, loss_dice: 0.732968
iteration 12 : loss : 0.476267, loss_ce: 0.214290, loss_dice: 0.738245
iteration 13 : loss : 0.477922, loss_ce: 0.213420, loss_dice: 0.742425
iteration 14 : loss : 0.477755, loss_ce: 0.211709, loss_dice: 0.743800
iteration 15 : loss : 0.474052, loss_ce: 0.203009, loss_dice: 0.745096
iteration 16 : loss : 0.488071, loss_ce: 0.229100, loss_dice: 0.747042
iteration 17 : loss : 0.490433, loss_ce: 0.233231, loss_dice: 0.747634
iteration 18 : loss : 0.488523, loss_ce: 0.229610, loss_dice: 0.747436
iteration 19 : loss : 0.476595, loss_ce: 0.205863, loss_dice: 0.747326
iteration 20 : loss : 0.472519, loss_ce: 0.197909, loss_dice: 0.747129
iteration 21 : loss : 0.448653, loss_ce: 0.151803, loss_dice: 0.745503
iteration 22 : loss : 0.493554, loss_ce: 0.239953, loss_dice: 0.747155
iteration 23 : loss : 0.479179, loss_ce: 0.212317, loss_dice: 0.746042
iteration 24 : loss : 0.466177, loss_ce: 0.188028, loss_dice: 0.744327
iteration 25 : loss : 0.479056, loss_ce: 0.214584, loss_dice: 0.743528
iteration 26 : loss : 0.476601, loss_ce: 0.211992, loss_dice: 0.741210
iteration 27 : loss : 0.474816, loss_ce: 0.211118, loss_dice: 0.738515
iteration 28 : loss : 0.479037, loss_ce: 0.223187, loss_dice: 0.734886
iteration 29 : loss : 0.476229, loss_ce: 0.222864, loss_dice: 0.729593
iteration 30 : loss : 0.470020, loss_ce: 0.216673, loss_dice: 0.723367
iteration 31 : loss : 0.471263, loss_ce: 0.225631, loss_dice: 0.716896
iteration 32 : loss : 0.467842, loss_ce: 0.223294, loss_dice: 0.712390
iteration 33 : loss : 0.471234, loss_ce: 0.233154, loss_dice: 0.709314
iteration 34 : loss : 0.468480, loss_ce: 0.228018, loss_dice: 0.708941
iteration 35 : loss : 0.468285, loss_ce: 0.225549, loss_dice: 0.711020
iteration 36 : loss : 0.468363, loss_ce: 0.222815, loss_dice: 0.713911
iteration 37 : loss : 0.452638, loss_ce: 0.188710, loss_dice: 0.716567
iteration 38 : loss : 0.463691, loss_ce: 0.207170, loss_dice: 0.720212
iteration 39 : loss : 0.455072, loss_ce: 0.187032, loss_dice: 0.723113
iteration 40 : loss : 0.466512, loss_ce: 0.207403, loss_dice: 0.725622
iteration 41 : loss : 0.459693, loss_ce: 0.193073, loss_dice: 0.726314
iteration 42 : loss : 0.460988, loss_ce: 0.194428, loss_dice: 0.727548
